 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 1.418859E+02  1.32431877E+06  1.20097396E+06  1.31235771E+06  0.00000000E+00  0.00000000E+00  4.35968841E+05
 1.408735E+02  1.31486747E+06  1.20020010E+06  1.30466385E+06  0.00000000E+00  0.00000000E+00  4.46983347E+05
 1.398739E+02  1.31595015E+06  1.19570096E+06  1.31138659E+06  0.00000000E+00  0.00000000E+00  4.74510089E+05
 1.388883E+02  1.32144053E+06  1.18986776E+06  1.32583984E+06  0.00000000E+00  0.00000000E+00  5.15036568E+05
 1.379181E+02  1.32321601E+06  1.18481006E+06  1.33569853E+06  0.00000000E+00  0.00000000E+00  5.45027969E+05
 1.369598E+02  1.32425234E+06  1.17812206E+06  1.34039589E+06  0.00000000E+00  0.00000000E+00  5.57095066E+05
 1.360147E+02  1.33024639E+06  1.16773320E+06  1.34604969E+06  0.00000000E+00  0.00000000E+00  5.64617362E+05
 1.350840E+02  1.33992889E+06  1.15845515E+06  1.35421497E+06  0.00000000E+00  0.00000000E+00  5.78583500E+05
 1.341646E+02  1.34956553E+06  1.15385764E+06  1.36146614E+06  0.00000000E+00  0.00000000E+00  5.89957723E+05
 1.332576E+02  1.35599008E+06  1.15078616E+06  1.36498740E+06  0.00000000E+00  0.00000000E+00  5.86080972E+05
 1.323642E+02  1.35724511E+06  1.14597350E+06  1.36548056E+06  0.00000000E+00  0.00000000E+00  5.73919685E+05
 1.314813E+02  1.35147243E+06  1.13910406E+06  1.36294925E+06  0.00000000E+00  0.00000000E+00  5.56991402E+05
 1.306100E+02  1.33961884E+06  1.13108115E+06  1.35661479E+06  0.00000000E+00  0.00000000E+00  5.27553782E+05
 1.297517E+02  1.32476737E+06  1.12641315E+06  1.34699910E+06  0.00000000E+00  0.00000000E+00  4.91620851E+05
 1.289031E+02  1.30851030E+06  1.12790474E+06  1.33466202E+06  0.00000000E+00  0.00000000E+00  4.64032445E+05
 1.280656E+02  1.29186925E+06  1.13250309E+06  1.32125287E+06  0.00000000E+00  0.00000000E+00  4.49296266E+05
 1.272403E+02  1.27669454E+06  1.13451582E+06  1.30882161E+06  0.00000000E+00  0.00000000E+00  4.45983343E+05
 1.264242E+02  1.26311650E+06  1.13067808E+06  1.29795382E+06  0.00000000E+00  0.00000000E+00  4.61572460E+05
 1.256185E+02  1.24833585E+06  1.12455141E+06  1.28827466E+06  0.00000000E+00  0.00000000E+00  4.96933112E+05
 1.248243E+02  1.23005688E+06  1.12180873E+06  1.27706921E+06  0.00000000E+00  0.00000000E+00  5.29933782E+05
 1.240388E+02  1.20740679E+06  1.12480573E+06  1.25853979E+06  0.00000000E+00  0.00000000E+00  5.43368727E+05
 1.232643E+02  1.18395305E+06  1.13218323E+06  1.23440021E+06  0.00000000E+00  0.00000000E+00  5.38871595E+05
 1.224983E+02  1.16642126E+06  1.14297322E+06  1.21445800E+06  0.00000000E+00  0.00000000E+00  5.23487274E+05
 1.217417E+02  1.15578036E+06  1.15803623E+06  1.20127596E+06  0.00000000E+00  0.00000000E+00  5.03564045E+05
 1.209956E+02  1.14272057E+06  1.18198700E+06  1.18676771E+06  0.00000000E+00  0.00000000E+00  4.83943932E+05
 1.202574E+02  1.12283957E+06  1.22005193E+06  1.16742549E+06  0.00000000E+00  0.00000000E+00  4.69900218E+05
 1.195282E+02  1.10054010E+06  1.25912549E+06  1.14678122E+06  0.00000000E+00  0.00000000E+00  4.65708557E+05
 1.188089E+02  1.07735485E+06  1.27146007E+06  1.12818451E+06  0.00000000E+00  0.00000000E+00  4.66247689E+05
 1.180971E+02  1.04900284E+06  1.25209865E+06  1.11227960E+06  0.00000000E+00  0.00000000E+00  4.66464180E+05
 1.173937E+02  1.01666996E+06  1.21951737E+06  1.10110457E+06  0.00000000E+00  0.00000000E+00  4.70225510E+05
 1.166998E+02  9.86745054E+05  1.19188097E+06  1.09808222E+06  0.00000000E+00  0.00000000E+00  4.85577684E+05
 1.160129E+02  9.61347147E+05  1.17908264E+06  1.10512437E+06  0.00000000E+00  0.00000000E+00  5.06719364E+05
 1.153341E+02  9.38259313E+05  1.17804716E+06  1.11787246E+06  0.00000000E+00  0.00000000E+00  5.13232877E+05
 1.146643E+02  9.15257796E+05  1.17518544E+06  1.12416980E+06  0.00000000E+00  0.00000000E+00  4.99006382E+05
 1.140011E+02  8.90667486E+05  1.15925131E+06  1.11232115E+06  0.00000000E+00  0.00000000E+00  4.75212996E+05
 1.133456E+02  8.67695825E+05  1.13232143E+06  1.08623158E+06  0.00000000E+00  0.00000000E+00  4.52216796E+05
 1.126986E+02  8.53005797E+05  1.10427663E+06  1.05995631E+06  0.00000000E+00  0.00000000E+00  4.28144043E+05
 1.120579E+02  8.45244374E+05  1.08203070E+06  1.03790557E+06  0.00000000E+00  0.00000000E+00  4.01801015E+05
 1.114244E+02  8.37949128E+05  1.06668391E+06  1.01684995E+06  0.00000000E+00  0.00000000E+00  3.78713052E+05
 1.107991E+02  8.28426725E+05  1.05529588E+06  9.97200170E+05  0.00000000E+00  0.00000000E+00  3.59638005E+05
 1.101798E+02  8.19647275E+05  1.04563261E+06  9.81031683E+05  0.00000000E+00  0.00000000E+00  3.39435954E+05
 1.095673E+02  8.14762756E+05  1.04158056E+06  9.67357675E+05  0.00000000E+00  0.00000000E+00  3.16631810E+05
 1.089626E+02  8.14741659E+05  1.04515735E+06  9.54688241E+05  0.00000000E+00  0.00000000E+00  2.92883560E+05
 1.083636E+02  8.19453676E+05  1.05357029E+06  9.43242150E+05  0.00000000E+00  0.00000000E+00  2.66515348E+05
 1.077711E+02  8.26696338E+05  1.06375393E+06  9.34151976E+05  0.00000000E+00  0.00000000E+00  2.36404809E+05
 1.071860E+02  8.32456848E+05  1.07275046E+06  9.24985256E+05  0.00000000E+00  0.00000000E+00  2.11232732E+05
 1.066063E+02  8.34998252E+05  1.07779404E+06  9.12739770E+05  0.00000000E+00  0.00000000E+00  1.93950307E+05
 1.060337E+02  8.38515172E+05  1.08223790E+06  9.01090478E+05  0.00000000E+00  0.00000000E+00  1.78548678E+05
 1.054664E+02  8.44148439E+05  1.09088606E+06  8.93360445E+05  0.00000000E+00  0.00000000E+00  1.60370893E+05
 1.049051E+02  8.50807249E+05  1.09915690E+06  8.89459965E+05  0.00000000E+00  0.00000000E+00  1.34368041E+05
 1.043506E+02  8.59107578E+05  1.10129099E+06  8.91223221E+05  0.00000000E+00  0.00000000E+00  1.02329683E+05
 1.038011E+02  8.68200483E+05  1.09802959E+06  9.00096281E+05  0.00000000E+00  0.00000000E+00  7.16801053E+04
 1.032573E+02  8.75266425E+05  1.08986286E+06  9.11256114E+05  0.00000000E+00  0.00000000E+00  4.23441921E+04
 1.027201E+02  8.78633038E+05  1.07524167E+06  9.18977878E+05  0.00000000E+00  0.00000000E+00  7.27784701E+03
 1.021876E+02  8.82309269E+05  1.05558397E+06  9.23743983E+05  0.00000000E+00  0.00000000E+00  3.13673929E+04
 1.016606E+02  8.92589486E+05  1.03708445E+06  9.28828889E+05  0.00000000E+00  0.00000000E+00  6.48891422E+04
 1.011398E+02  9.13538243E+05  1.02637630E+06  9.37832429E+05  0.00000000E+00  0.00000000E+00  9.57205758E+04
 1.006235E+02  9.43356366E+05  1.02487473E+06  9.52873416E+05  0.00000000E+00  0.00000000E+00  1.24230160E+05
 1.001124E+02  9.74877573E+05  1.02892521E+06  9.72275355E+05  0.00000000E+00  0.00000000E+00  1.46642550E+05
 9.960730E+01  1.00126184E+06  1.03469539E+06  9.93000681E+05  0.00000000E+00  0.00000000E+00  1.68470827E+05
 9.910648E+01  1.02222701E+06  1.04412976E+06  1.01535564E+06  0.00000000E+00  0.00000000E+00  1.90238957E+05
 9.861068E+01  1.04091293E+06  1.06316127E+06  1.04125514E+06  0.00000000E+00  0.00000000E+00  2.02576771E+05
 9.812059E+01  1.06048787E+06  1.09064434E+06  1.07084461E+06  0.00000000E+00  0.00000000E+00  2.04004142E+05
 9.763457E+01  1.08029277E+06  1.11824899E+06  1.10164158E+06  0.00000000E+00  0.00000000E+00  1.98221735E+05
 9.715335E+01  1.09629124E+06  1.14387002E+06  1.12868320E+06  0.00000000E+00  0.00000000E+00  1.82934641E+05
 9.667760E+01  1.10929567E+06  1.16894805E+06  1.14928734E+06  0.00000000E+00  0.00000000E+00  1.56364885E+05
 9.620575E+01  1.12256303E+06  1.19119250E+06  1.16421889E+06  0.00000000E+00  0.00000000E+00  1.22818792E+05
 9.573847E+01  1.13524796E+06  1.21086717E+06  1.17480192E+06  0.00000000E+00  0.00000000E+00  9.52758336E+04
 9.527645E+01  1.14666655E+06  1.23025141E+06  1.17994566E+06  0.00000000E+00  0.00000000E+00  8.58831263E+04
 9.481813E+01  1.15772883E+06  1.24912558E+06  1.17894681E+06  0.00000000E+00  0.00000000E+00  9.64931064E+04
 9.436421E+01  1.16679034E+06  1.26839398E+06  1.17429242E+06  0.00000000E+00  0.00000000E+00  1.18509353E+05
 9.391532E+01  1.17176997E+06  1.28962594E+06  1.16793448E+06  0.00000000E+00  0.00000000E+00  1.45932462E+05
 9.346998E+01  1.17334071E+06  1.31319674E+06  1.16189961E+06  0.00000000E+00  0.00000000E+00  1.75034188E+05
 9.302954E+01  1.17367379E+06  1.33949638E+06  1.15812887E+06  0.00000000E+00  0.00000000E+00  1.99648098E+05
 9.259254E+01  1.17490061E+06  1.36763748E+06  1.15776628E+06  0.00000000E+00  0.00000000E+00  2.14813169E+05
 9.215963E+01  1.17830900E+06  1.39246550E+06  1.16072835E+06  0.00000000E+00  0.00000000E+00  2.25032127E+05
 9.173142E+01  1.18149959E+06  1.40787720E+06  1.16450170E+06  0.00000000E+00  0.00000000E+00  2.41479830E+05
 9.130651E+01  1.18220303E+06  1.41346640E+06  1.16978388E+06  0.00000000E+00  0.00000000E+00  2.65783086E+05
