 #Energy          XX              YY             ZZ              XY              YZ              XZ
 1.992130E+02  1.57436271E+00  1.56450641E+00  1.38030919E+00  0.00000000E+00  0.00000000E+00  4.57222581E-01
 1.972229E+02  1.54674698E+00  1.53174721E+00  1.36279352E+00  0.00000000E+00  0.00000000E+00  4.84230120E-01
 1.952691E+02  1.53740109E+00  1.50482934E+00  1.36533041E+00  0.00000000E+00  0.00000000E+00  5.07887020E-01
 1.933537E+02  1.54993132E+00  1.48426272E+00  1.38837454E+00  0.00000000E+00  0.00000000E+00  5.25282885E-01
 1.914784E+02  1.58245656E+00  1.47067627E+00  1.42846490E+00  0.00000000E+00  0.00000000E+00  5.36120940E-01
 1.896363E+02  1.63010601E+00  1.46471619E+00  1.48202412E+00  0.00000000E+00  0.00000000E+00  5.39243300E-01
 1.878292E+02  1.68623116E+00  1.46461544E+00  1.54273458E+00  0.00000000E+00  0.00000000E+00  5.36785496E-01
 1.860591E+02  1.74160865E+00  1.46393160E+00  1.60029219E+00  0.00000000E+00  0.00000000E+00  5.27854290E-01
 1.843193E+02  1.78638937E+00  1.45764835E+00  1.64697567E+00  0.00000000E+00  0.00000000E+00  5.22078608E-01
 1.826117E+02  1.81856870E+00  1.44964591E+00  1.68763338E+00  0.00000000E+00  0.00000000E+00  5.34576660E-01
 1.809381E+02  1.84227332E+00  1.44539121E+00  1.72841462E+00  0.00000000E+00  0.00000000E+00  5.61649864E-01
 1.792923E+02  1.85946278E+00  1.44452047E+00  1.77008461E+00  0.00000000E+00  0.00000000E+00  5.87247913E-01
 1.776787E+02  1.86891566E+00  1.44799108E+00  1.81255441E+00  0.00000000E+00  0.00000000E+00  6.06871263E-01
 1.760914E+02  1.87151250E+00  1.45774498E+00  1.85563981E+00  0.00000000E+00  0.00000000E+00  6.26303657E-01
 1.745322E+02  1.87305014E+00  1.47127951E+00  1.89960882E+00  0.00000000E+00  0.00000000E+00  6.45101890E-01
 1.730028E+02  1.87516609E+00  1.48386986E+00  1.93894613E+00  0.00000000E+00  0.00000000E+00  6.51358247E-01
 1.714976E+02  1.87484972E+00  1.49198489E+00  1.96539185E+00  0.00000000E+00  0.00000000E+00  6.34980878E-01
 1.700184E+02  1.87110002E+00  1.49627797E+00  1.97647532E+00  0.00000000E+00  0.00000000E+00  6.09249388E-01
 1.685667E+02  1.86478367E+00  1.49913403E+00  1.97857735E+00  0.00000000E+00  0.00000000E+00  5.98579685E-01
 1.671374E+02  1.85701972E+00  1.49931441E+00  1.98036934E+00  0.00000000E+00  0.00000000E+00  5.89315590E-01
 1.657321E+02  1.84783281E+00  1.49614686E+00  1.97901655E+00  0.00000000E+00  0.00000000E+00  5.67831608E-01
 1.643524E+02  1.83719113E+00  1.49084911E+00  1.96491044E+00  0.00000000E+00  0.00000000E+00  5.53892203E-01
 1.629934E+02  1.82412441E+00  1.48128758E+00  1.93715755E+00  0.00000000E+00  0.00000000E+00  5.55145327E-01
 1.616567E+02  1.80697863E+00  1.46423477E+00  1.90243686E+00  0.00000000E+00  0.00000000E+00  5.53640997E-01
 1.603437E+02  1.78748301E+00  1.44195683E+00  1.86559985E+00  0.00000000E+00  0.00000000E+00  5.41714078E-01
 1.590499E+02  1.76842778E+00  1.41964943E+00  1.82950806E+00  0.00000000E+00  0.00000000E+00  5.22924659E-01
 1.577768E+02  1.75033935E+00  1.40308314E+00  1.79807741E+00  0.00000000E+00  0.00000000E+00  4.95460057E-01
 1.565259E+02  1.73523903E+00  1.39482419E+00  1.77570429E+00  0.00000000E+00  0.00000000E+00  4.51132752E-01
 1.552928E+02  1.72520563E+00  1.39032131E+00  1.76263171E+00  0.00000000E+00  0.00000000E+00  3.83029249E-01
 1.540789E+02  1.71862425E+00  1.38690727E+00  1.75660961E+00  0.00000000E+00  0.00000000E+00  2.82578363E-01
 1.528857E+02  1.70916659E+00  1.38300906E+00  1.74924358E+00  0.00000000E+00  0.00000000E+00  1.40774467E-01
 1.517090E+02  1.69327538E+00  1.37532242E+00  1.73086821E+00  0.00000000E+00  0.00000000E+00  4.17280145E-03
 1.505503E+02  1.67362464E+00  1.36400016E+00  1.69987886E+00  0.00000000E+00  0.00000000E+00  1.01754281E-01
 1.494109E+02  1.65205366E+00  1.35369490E+00  1.66326846E+00  0.00000000E+00  0.00000000E+00  1.73388340E-01
 1.482869E+02  1.62627989E+00  1.34896937E+00  1.62912597E+00  0.00000000E+00  0.00000000E+00  2.27344969E-01
 1.471797E+02  1.59841925E+00  1.35147352E+00  1.59920199E+00  0.00000000E+00  0.00000000E+00  2.70980255E-01
 1.460906E+02  1.57732854E+00  1.35822368E+00  1.57513829E+00  0.00000000E+00  0.00000000E+00  3.25339505E-01
 1.450158E+02  1.56565180E+00  1.36443208E+00  1.55828090E+00  0.00000000E+00  0.00000000E+00  3.95481287E-01
 1.439584E+02  1.55026642E+00  1.36582340E+00  1.53873801E+00  0.00000000E+00  0.00000000E+00  4.53580233E-01
 1.429147E+02  1.52420819E+00  1.36257732E+00  1.51076830E+00  0.00000000E+00  0.00000000E+00  4.82993740E-01
 1.418859E+02  1.49527820E+00  1.35601053E+00  1.48177306E+00  0.00000000E+00  0.00000000E+00  4.92249087E-01
 1.408735E+02  1.47401344E+00  1.34546722E+00  1.46257482E+00  0.00000000E+00  0.00000000E+00  5.01084312E-01
 1.398739E+02  1.46475878E+00  1.33091172E+00  1.45967917E+00  0.00000000E+00  0.00000000E+00  5.28168045E-01
 1.388883E+02  1.46050609E+00  1.31508689E+00  1.46536837E+00  0.00000000E+00  0.00000000E+00  5.69237909E-01
 1.379181E+02  1.45225195E+00  1.30034908E+00  1.46595172E+00  0.00000000E+00  0.00000000E+00  5.98177412E-01
 1.369598E+02  1.44329078E+00  1.28402469E+00  1.46088549E+00  0.00000000E+00  0.00000000E+00  6.07172928E-01
 1.360147E+02  1.43981937E+00  1.26391990E+00  1.45692439E+00  0.00000000E+00  0.00000000E+00  6.11125143E-01
 1.350840E+02  1.44037614E+00  1.24529829E+00  1.45573318E+00  0.00000000E+00  0.00000000E+00  6.21956791E-01
 1.341646E+02  1.44086080E+00  1.23191368E+00  1.45356647E+00  0.00000000E+00  0.00000000E+00  6.29867123E-01
 1.332576E+02  1.43793270E+00  1.22032830E+00  1.44747373E+00  0.00000000E+00  0.00000000E+00  6.21497907E-01
 1.323642E+02  1.42961409E+00  1.20707738E+00  1.43828866E+00  0.00000000E+00  0.00000000E+00  6.04521367E-01
 1.314813E+02  1.41403815E+00  1.19183830E+00  1.42604629E+00  0.00000000E+00  0.00000000E+00  5.82777033E-01
 1.306100E+02  1.39234836E+00  1.17560230E+00  1.41001330E+00  0.00000000E+00  0.00000000E+00  5.48319137E-01
 1.297517E+02  1.36786307E+00  1.16305624E+00  1.39081802E+00  0.00000000E+00  0.00000000E+00  5.07613655E-01
 1.289031E+02  1.34224171E+00  1.15698041E+00  1.36906758E+00  0.00000000E+00  0.00000000E+00  4.75994497E-01
 1.280656E+02  1.31656196E+00  1.15414968E+00  1.34650721E+00  0.00000000E+00  0.00000000E+00  4.57884086E-01
 1.272403E+02  1.29271172E+00  1.14874925E+00  1.32524185E+00  0.00000000E+00  0.00000000E+00  4.51578571E-01
 1.264242E+02  1.27076034E+00  1.13752046E+00  1.30580848E+00  0.00000000E+00  0.00000000E+00  4.64365698E-01
 1.256185E+02  1.24788656E+00  1.12414667E+00  1.28781100E+00  0.00000000E+00  0.00000000E+00  4.96754262E-01
 1.248243E+02  1.22183988E+00  1.11431484E+00  1.26853815E+00  0.00000000E+00  0.00000000E+00  5.26393728E-01
 1.240388E+02  1.19179391E+00  1.11026096E+00  1.24226572E+00  0.00000000E+00  0.00000000E+00  5.36342472E-01
 1.232643E+02  1.16134698E+00  1.11056565E+00  1.21083092E+00  0.00000000E+00  0.00000000E+00  5.28582533E-01
 1.224983E+02  1.13703949E+00  1.11418210E+00  1.18386620E+00  0.00000000E+00  0.00000000E+00  5.10300800E-01
 1.217417E+02  1.11970807E+00  1.12189353E+00  1.16378374E+00  0.00000000E+00  0.00000000E+00  4.87847645E-01
 1.209956E+02  1.10027115E+00  1.13807893E+00  1.14268205E+00  0.00000000E+00  0.00000000E+00  4.65966539E-01
 1.202574E+02  1.07453280E+00  1.16756289E+00  1.11720054E+00  0.00000000E+00  0.00000000E+00  4.49684183E-01
 1.195282E+02  1.04680620E+00  1.19764865E+00  1.09078959E+00  0.00000000E+00  0.00000000E+00  4.42970323E-01
 1.188089E+02  1.01858615E+00  1.20210310E+00  1.06664309E+00  0.00000000E+00  0.00000000E+00  4.40814312E-01
 1.180971E+02  9.85838629E-01  1.17670531E+00  1.04530527E+00  0.00000000E+00  0.00000000E+00  4.38376703E-01
 1.173937E+02  9.49762286E-01  1.13926018E+00  1.02864020E+00  0.00000000E+00  0.00000000E+00  4.39279679E-01
 1.166998E+02  9.16357923E-01  1.10686095E+00  1.01975311E+00  0.00000000E+00  0.00000000E+00  4.50940146E-01
 1.160129E+02  8.87517218E-01  1.08853097E+00  1.02025258E+00  0.00000000E+00  0.00000000E+00  4.67804124E-01
 1.153341E+02  8.61134201E-01  1.08121144E+00  1.02598311E+00  0.00000000E+00  0.00000000E+00  4.71045027E-01
 1.146643E+02  8.35144616E-01  1.07232061E+00  1.02577040E+00  0.00000000E+00  0.00000000E+00  4.55327990E-01
 1.140011E+02  8.08006395E-01  1.05166348E+00  1.00908882E+00  0.00000000E+00  0.00000000E+00  4.31109416E-01
